?cls	?xref
<http://purl.obolibrary.org/obo/ZFA_0005049>	"TAO:0005049"
<http://purl.obolibrary.org/obo/ZFA_0009274>	"CL:0000602"
<http://purl.obolibrary.org/obo/ZFA_0009274>	"TAO:0009274"
<http://purl.obolibrary.org/obo/ZFA_0001315>	"TAO:0001315"
<http://purl.obolibrary.org/obo/ZFA_0001468>	"TAO:0001468"
<http://purl.obolibrary.org/obo/ZFA_0000931>	"TAO:0000931"
<http://purl.obolibrary.org/obo/ZFA_0000270>	"TAO:0000270"
<http://purl.obolibrary.org/obo/ZFA_0009073>	"CL:0000125"
<http://purl.obolibrary.org/obo/ZFA_0009073>	"TAO:0009073"
<http://purl.obolibrary.org/obo/ZFA_0005374>	"TAO:0005374"
<http://purl.obolibrary.org/obo/ZFA_0009144>	"CL:0000240"
<http://purl.obolibrary.org/obo/ZFA_0009144>	"TAO:0009144"
<http://purl.obolibrary.org/obo/ZFA_0001578>	"TAO:0001578"
<http://purl.obolibrary.org/obo/ZFA_0000133>	"TAO:0000133"
<http://purl.obolibrary.org/obo/ZFA_0000380>	"TAO:0000380"
<http://purl.obolibrary.org/obo/ZFA_0007035>	"TAO:0007035"
<http://purl.obolibrary.org/obo/ZFA_0000798>	"TAO:0000798"
<http://purl.obolibrary.org/obo/ZFA_0005731>	"CL:0005023"
<http://purl.obolibrary.org/obo/ZFA_0000416>	"TAO:0000416"
<http://purl.obolibrary.org/obo/ZFA_0009177>	"TAO:0009177"
<http://purl.obolibrary.org/obo/ZFA_0009177>	"CL:0000353"
<http://purl.obolibrary.org/obo/ZFA_0009102>	"CL:0000169"
<http://purl.obolibrary.org/obo/ZFA_0009102>	"TAO:0009102"
<http://purl.obolibrary.org/obo/ZFA_0005403>	"TAO:0001773"
<http://purl.obolibrary.org/obo/ZFA_0001025>	"TAO:0001025"
<http://purl.obolibrary.org/obo/ZFA_0005097>	"TAO:0005097"
<http://purl.obolibrary.org/obo/ZFA_0001272>	"TAO:0001272"
<http://purl.obolibrary.org/obo/ZFA_0009287>	"CL:0000667"
<http://purl.obolibrary.org/obo/ZFA_0009287>	"TAO:0009287"
<http://purl.obolibrary.org/obo/ZFA_0001308>	"TAO:0001308"
<http://purl.obolibrary.org/obo/ZFA_0001308>	"CARO:0000032"
<http://purl.obolibrary.org/obo/ZFA_0001135>	"TAO:0001135"
<http://purl.obolibrary.org/obo/ZFA_0001706>	"TAO:0002240"
<http://purl.obolibrary.org/obo/ZFA_0009365>	"TAO:0009365"
<http://purl.obolibrary.org/obo/ZFA_0009365>	"CL:0000854"
<http://purl.obolibrary.org/obo/ZFA_0009379>	"CL:0002538"
<http://purl.obolibrary.org/obo/ZFA_0000751>	"TAO:0000751"
<http://purl.obolibrary.org/obo/ZFA_0000090>	"TAO:0000090"
<http://purl.obolibrary.org/obo/ZFA_0000861>	"TAO:0000861"
<http://purl.obolibrary.org/obo/ZFA_0005546>	"TAO:0000596"
<http://purl.obolibrary.org/obo/ZFA_0000248>	"TAO:0000248"
<http://purl.obolibrary.org/obo/ZFA_0005480>	"TAO:0001794"
<http://purl.obolibrary.org/obo/ZFA_0000606>	"TAO:0000606"
<http://purl.obolibrary.org/obo/ZFA_0000759>	"TAO:0000759"
<http://purl.obolibrary.org/obo/ZFA_0001493>	"CARO:0000071"
<http://purl.obolibrary.org/obo/ZFA_0001493>	"TAO:0001493"
<http://purl.obolibrary.org/obo/ZFA_0005152>	"TAO:0005152"
<http://purl.obolibrary.org/obo/ZFA_0000869>	"TAO:0000869"
<http://purl.obolibrary.org/obo/ZFA_0000402>	"TAO:0000402"
<http://purl.obolibrary.org/obo/ZFA_0009205>	"TAO:0009205"
<http://purl.obolibrary.org/obo/ZFA_0009205>	"CL:0000440"
<http://purl.obolibrary.org/obo/ZFA_0007060>	"TAO:0007060"
<http://purl.obolibrary.org/obo/ZFA_0001128>	"TAO:0001128"
<http://purl.obolibrary.org/obo/ZFA_0000717>	"TAO:0000717"
<http://purl.obolibrary.org/obo/ZFA_0009358>	"CL:0000847"
<http://purl.obolibrary.org/obo/ZFA_0009358>	"TAO:0009358"
<http://purl.obolibrary.org/obo/ZFA_0000986>	"TAO:0000986"
<http://purl.obolibrary.org/obo/ZFA_0000201>	"TAO:0000201"
<http://purl.obolibrary.org/obo/ZFA_0000396>	"TAO:0000396"
<http://purl.obolibrary.org/obo/ZFA_0005256>	"TAO:0005256"
<http://purl.obolibrary.org/obo/ZFA_0000827>	"TAO:0000827"
<http://purl.obolibrary.org/obo/ZFA_0001050>	"TAO:0001050"
<http://purl.obolibrary.org/obo/ZFA_0000681>	"TAO:0000681"
<http://purl.obolibrary.org/obo/ZFA_0000193>	"TAO:0000193"
<http://purl.obolibrary.org/obo/ZFA_0001689>	"TAO:0001837"
<http://purl.obolibrary.org/obo/ZFA_0001689>	"CARO:0000008"
<http://purl.obolibrary.org/obo/ZFA_0000068>	"TAO:0000068"
<http://purl.obolibrary.org/obo/ZFA_0005529>	"TAO:0001731"
<http://purl.obolibrary.org/obo/ZFA_0000209>	"TAO:0000209"
<http://purl.obolibrary.org/obo/ZFA_0000919>	"TAO:0000919"
<http://purl.obolibrary.org/obo/ZFA_0009108>	"CL:0000178"
<http://purl.obolibrary.org/obo/ZFA_0009108>	"TAO:0009108"
<http://purl.obolibrary.org/obo/ZFA_0000543>	"TAO:0000543"
<http://purl.obolibrary.org/obo/ZFA_0009162>	"TAO:0009162"
<http://purl.obolibrary.org/obo/ZFA_0009162>	"CL:0000327"
<http://purl.obolibrary.org/obo/ZFA_0000812>	"TAO:0000812"
<http://purl.obolibrary.org/obo/ZFS_0000036>	"ZFIN:ZDB-TERM-100331-2466"
<http://purl.obolibrary.org/obo/ZFS_0000036>	"ZFIN:ZDB-STAGE-010723-35"
<http://purl.obolibrary.org/obo/ZFA_0000151>	"TAO:0000151"
<http://purl.obolibrary.org/obo/ZFA_0009025>	"CL:0000056"
<http://purl.obolibrary.org/obo/ZFA_0009025>	"TAO:0009025"
<http://purl.obolibrary.org/obo/ZFA_0005076>	"TAO:0005076"
<http://purl.obolibrary.org/obo/ZFA_0005421>	"TAO:0001942"
<http://purl.obolibrary.org/obo/ZFA_0000304>	"TAO:0000304"
<http://purl.obolibrary.org/obo/ZFA_0001043>	"TAO:0001043"
<http://purl.obolibrary.org/obo/ZFA_0009058>	"CL:0000106"
<http://purl.obolibrary.org/obo/ZFA_0009058>	"TAO:0009058"
<http://purl.obolibrary.org/obo/ZFA_0005359>	"TAO:0001758"
<http://purl.obolibrary.org/obo/ZFA_0009329>	"TAO:0009329"
<http://purl.obolibrary.org/obo/ZFA_0009329>	"CL:0000778"
<http://purl.obolibrary.org/obo/ZFA_0000972>	"TAO:0000972"
<http://purl.obolibrary.org/obo/ZFA_0000054>	"TAO:0000054"
<http://purl.obolibrary.org/obo/ZFA_0001153>	"TAO:0001153"
<http://purl.obolibrary.org/obo/ZFA_0005158>	"TAO:0005158"
<http://purl.obolibrary.org/obo/ZFA_0009383>	"CL:0002076"
<http://purl.obolibrary.org/obo/ZFA_0005515>	"TAO:0001716"
<http://purl.obolibrary.org/obo/ZFA_0000457>	"TAO:0000457"
<http://purl.obolibrary.org/obo/ZFA_0000632>	"TAO:0000632"
<http://purl.obolibrary.org/obo/ZFA_0000905>	"TAO:0000905"
<http://purl.obolibrary.org/obo/ZFA_0005373>	"TAO:0005373"
<http://purl.obolibrary.org/obo/ZFA_0000256>	"TAO:0000256"
<http://purl.obolibrary.org/obo/ZFA_0005312>	"TAO:0005312"
<http://purl.obolibrary.org/obo/ZFA_0001462>	"TAO:0001462"
<http://purl.obolibrary.org/obo/ZFA_0005778>	"CL:0011109"
<http://purl.obolibrary.org/obo/ZFA_0001056>	"TAO:0001056"
<http://purl.obolibrary.org/obo/ZFA_0007034>	"TAO:0007034"
<http://purl.obolibrary.org/obo/ZFA_0005241>	"TAO:0005241"
<http://purl.obolibrary.org/obo/ZFA_0005241>	"CL:0000550"
<http://purl.obolibrary.org/obo/ZFA_0001572>	"TAO:0001572"
<http://purl.obolibrary.org/obo/ZFA_0000124>	"TAO:0000124"
<http://purl.obolibrary.org/obo/ZFA_0009093>	"CL:0000153"
<http://purl.obolibrary.org/obo/ZFA_0009093>	"TAO:0009093"
<http://purl.obolibrary.org/obo/ZFA_0009149>	"CL:0000246"
<http://purl.obolibrary.org/obo/ZFA_0009149>	"TAO:0009149"
<http://purl.obolibrary.org/obo/ZFA_0000792>	"TAO:0000792"
<http://purl.obolibrary.org/obo/ZFA_0000535>	"TAO:0000535"
<http://purl.obolibrary.org/obo/ZFA_0001674>	"TAO:0002208"
<http://purl.obolibrary.org/obo/ZFA_0000410>	"TAO:0000410"
<http://purl.obolibrary.org/obo/ZFA_0001417>	"TAO:0001417"
<http://purl.obolibrary.org/obo/ZFA_0000464>	"TAO:0000464"
<http://purl.obolibrary.org/obo/ZFA_0000645>	"TAO:0000645"
<http://purl.obolibrary.org/obo/ZFA_0005264>	"TAO:0001828"
<http://purl.obolibrary.org/obo/ZFA_0000747>	"TAO:0000747"
<http://purl.obolibrary.org/obo/ZFA_0005144>	"TAO:0005144"
<http://purl.obolibrary.org/obo/ZFA_0000086>	"TAO:0000086"
<http://purl.obolibrary.org/obo/ZFA_0000418>	"TAO:0000418"
<http://purl.obolibrary.org/obo/ZFS_0000021>	"ZFIN:ZDB-TERM-100331-2451"
<http://purl.obolibrary.org/obo/ZFS_0000021>	"ZFIN:ZDB-STAGE-010723-29"
<http://purl.obolibrary.org/obo/ZFA_0005193>	"TAO:0005193"
<http://purl.obolibrary.org/obo/ZFA_0001302>	"TAO:0001302"
<http://purl.obolibrary.org/obo/ZFA_0005430>	"TAO:0002031"
<http://purl.obolibrary.org/obo/ZFA_0001565>	"TAO:0001565"
