?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ZFA_0009324>	<http://www.w3.org/2000/01/rdf-schema#label>	"myeloid cell"	
<http://purl.obolibrary.org/obo/ZFA_0000313>	<http://www.w3.org/2000/01/rdf-schema#label>	"anal inclinator"	
<http://purl.obolibrary.org/obo/ZFA_0005417>	<http://www.w3.org/2000/01/rdf-schema#label>	"utriculosaccular foramen"	
<http://purl.obolibrary.org/obo/ZFA_0001286>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal vein plexus"	
<http://purl.obolibrary.org/obo/ZFA_0001039>	<http://www.w3.org/2000/01/rdf-schema#label>	"sclerotome somite 19"	
<http://purl.obolibrary.org/obo/ZFA_0000978>	<http://www.w3.org/2000/01/rdf-schema#label>	"somite 22"	
<http://purl.obolibrary.org/obo/ZFA_0000502>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal motor nucleus trigeminal nerve"	
<http://purl.obolibrary.org/obo/ZFA_0005167>	<http://www.w3.org/2000/01/rdf-schema#label>	"hepatopancreatic ampulla"	
<http://purl.obolibrary.org/obo/ZFA_0009241>	<http://www.w3.org/2000/01/rdf-schema#label>	"pigmented epithelial cell"	
<http://purl.obolibrary.org/obo/ZFA_0001149>	<http://www.w3.org/2000/01/rdf-schema#label>	"olfactory system"	
<http://purl.obolibrary.org/obo/ZFA_0000612>	<http://www.w3.org/2000/01/rdf-schema#label>	"protractor hyoidei"	
<http://purl.obolibrary.org/obo/ZFS_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"blastula:256-cell"	
<http://purl.obolibrary.org/obo/ZFA_0001643>	<http://www.w3.org/2000/01/rdf-schema#label>	"anatomical space"	
<http://purl.obolibrary.org/obo/ZFA_0001205>	<http://www.w3.org/2000/01/rdf-schema#label>	"Meckel's cartilage"	
<http://purl.obolibrary.org/obo/ZFA_0005111>	<http://www.w3.org/2000/01/rdf-schema#label>	"medial forebrain bundle"	
<http://purl.obolibrary.org/obo/ZFA_0005035>	<http://www.w3.org/2000/01/rdf-schema#label>	"subintestinal vein"	
<http://purl.obolibrary.org/obo/ZFA_0005049>	<http://www.w3.org/2000/01/rdf-schema#label>	"prosencephalic artery"	
<http://purl.obolibrary.org/obo/ZFA_0009274>	<http://www.w3.org/2000/01/rdf-schema#label>	"pressoreceptor cell"	
<http://purl.obolibrary.org/obo/ZFA_0001315>	<http://www.w3.org/2000/01/rdf-schema#label>	"atrioventricular canal"	
<http://purl.obolibrary.org/obo/ZFA_0005828>	<http://www.w3.org/2000/01/rdf-schema#label>	"kappe olfactory receptor neuron"	
