?x	?p	?y
<http://purl.obolibrary.org/obo/ZFA_0005896>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0005705>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005332>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/ZFA_0009165>
<http://purl.obolibrary.org/obo/ZFA_0001214>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000024>
<http://purl.obolibrary.org/obo/ZFA_0005397>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000664>
<http://purl.obolibrary.org/obo/ZFA_0005302>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0001525>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001231>
<http://purl.obolibrary.org/obo/ZFA_0000745>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000028>
<http://purl.obolibrary.org/obo/ZFA_0009033>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000396>
<http://purl.obolibrary.org/obo/ZFA_0005488>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0001438>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000967>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0005266>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0007054>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001027>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000035>
<http://purl.obolibrary.org/obo/ZFA_0000916>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000026>
<http://purl.obolibrary.org/obo/ZFA_0005178>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0009256>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0000844>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0001502>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001580>
<http://purl.obolibrary.org/obo/ZFA_0000404>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000293>
<http://purl.obolibrary.org/obo/ZFA_0001617>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000051>
