?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/ZFA_0001546>		<http://purl.obolibrary.org/obo/ZFA_0000095>
<http://purl.obolibrary.org/obo/ZFA_0001546>		<http://purl.obolibrary.org/obo/ZFA_0001276>
<http://purl.obolibrary.org/obo/ZFA_0001547>		<http://purl.obolibrary.org/obo/ZFA_0000863>
<http://purl.obolibrary.org/obo/ZFA_0001548>		<http://purl.obolibrary.org/obo/ZFA_0001123>
<http://purl.obolibrary.org/obo/ZFA_0001549>		<http://purl.obolibrary.org/obo/ZFA_0000027>
<http://purl.obolibrary.org/obo/ZFA_0001553>		<http://purl.obolibrary.org/obo/ZFA_0000027>
<http://purl.obolibrary.org/obo/ZFA_0001553>		<http://purl.obolibrary.org/obo/ZFA_0001123>
<http://purl.obolibrary.org/obo/ZFA_0001618>		
<http://purl.obolibrary.org/obo/ZFA_0001661>	<http://purl.obolibrary.org/obo/ZFA_0000008>	
<http://purl.obolibrary.org/obo/ZFA_0001664>	<http://purl.obolibrary.org/obo/ZFA_0000075>	
<http://purl.obolibrary.org/obo/ZFA_0005071>		<http://purl.obolibrary.org/obo/ZFA_0005059>
<http://purl.obolibrary.org/obo/ZFA_0005182>	<http://purl.obolibrary.org/obo/ZFA_0005815>	
<http://purl.obolibrary.org/obo/ZFA_0005228>	<http://purl.obolibrary.org/obo/ZFA_0005094>	
<http://purl.obolibrary.org/obo/ZFA_0005318>		
<http://purl.obolibrary.org/obo/ZFA_0005330>	<http://purl.obolibrary.org/obo/ZFA_0005245>	
<http://purl.obolibrary.org/obo/ZFA_0005493>	<http://purl.obolibrary.org/obo/ZFA_0000231>	
<http://purl.obolibrary.org/obo/ZFA_0007007>	<http://purl.obolibrary.org/obo/ZFA_0000505>	
<http://purl.obolibrary.org/obo/ZFA_0009008>	<http://purl.obolibrary.org/obo/ZFA_0001109>	
<http://purl.obolibrary.org/obo/ZFA_0009122>	<http://purl.obolibrary.org/obo/ZFA_0009121>	
<http://purl.obolibrary.org/obo/ZFA_0009161>		
<http://purl.obolibrary.org/obo/ZFA_0009172>		
<http://purl.obolibrary.org/obo/ZFA_0009192>	<http://purl.obolibrary.org/obo/ZFA_0009361>	
<http://purl.obolibrary.org/obo/ZFA_0009197>	<http://purl.obolibrary.org/obo/ZFA_0000084>	
<http://purl.obolibrary.org/obo/ZFA_0009208>	<http://purl.obolibrary.org/obo/ZFA_0009082>	
<http://purl.obolibrary.org/obo/ZFA_0009340>	<http://purl.obolibrary.org/obo/ZFA_0009046>	
<http://purl.obolibrary.org/obo/ZFA_0009341>	<http://purl.obolibrary.org/obo/ZFA_0009046>	
<http://purl.obolibrary.org/obo/ZFA_0009373>	<http://purl.obolibrary.org/obo/ZFA_0005322>	
<http://purl.obolibrary.org/obo/ZFA_0009377>	<http://purl.obolibrary.org/obo/ZFA_0005242>	
<http://purl.obolibrary.org/obo/ZFA_0009378>	<http://purl.obolibrary.org/obo/ZFA_0005243>	
<http://purl.obolibrary.org/obo/ZFA_0009381>	<http://purl.obolibrary.org/obo/ZFA_0005599>	
<http://purl.obolibrary.org/obo/ZFA_0009382>	<http://purl.obolibrary.org/obo/ZFA_0005598>	
